p_score,p_acat,p_snp,p_pheWAS_mega_acat,p_pheWAS_mega_acat_p,p_pheWAS_meta_acat,p_pheWAS_meta_acat_p,p_asset_meta,p_pheWAS_hmp,p_oracle,p_oracle_uncorrelated,p_pheWAS_mega,p_pheWAS_meta,p_multiphen,alpha,n_sims,num_sites,total_subjects,max_site,q,q_bin,q_con,intercept_only,flip_y,rm_gender,na_freq,maf,prevalence,num_pca,n_true_con,max_beta_con,direction_con,n_true_bin,max_beta_bin,direction_bin,beta_con,beta_bin,n_k,q_k,empirical_prev,no_case_rate
0.0505,0.0565,0.059,0.0605,0.0565,0.06,0.058,NA,0.071,0.1025,0.0565,0.055,0.0545,0.062,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.01,Same -- Positive,1,0.01,Same -- Positive,0.01/0/0/0,0.01/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3180576,0
0.076,0.075,0.0815,0.0725,0.066,0.0725,0.0625,NA,0.0775,0.176,0.1155,0.064,0.062,0.071,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.03615384615384615,Same -- Positive,1,0.03615384615384615,Same -- Positive,0.0361538461538462/0/0/0,0.0361538461538462/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318051725,0
1,1,1,1,0.999,1,0.9995,NA,0.9995,1,1,0.999,0.999,0.8555,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.2976923076923077,Same -- Positive,1,0.2976923076923077,Same -- Positive,0.297692307692308/0/0/0,0.297692307692308/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31814835,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.2976923076923077,Same -- Positive,3,0.2976923076923077,Same -- Positive,0.297692307692308/0.297692307692308/0/0,0.297692307692308/0.297692307692308/0.297692307692308/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3186261,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.2976923076923077,Same -- Positive,4,0.2976923076923077,Same -- Positive,0.297692307692308/0.297692307692308/0.297692307692308/0.297692307692308,0.297692307692308/0.297692307692308/0.297692307692308/0.297692307692308,1000/1000/1000/1000/1000,8/7/6/5/8,0.318793525,0
1,0.9995,1,1,1,0.9995,0.9995,NA,1,1,1,1,0.9995,0.8935,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.30641025641025643,Same -- Positive,1,0.30641025641025643,Same -- Positive,0.306410256410256/0/0/0,0.306410256410256/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318226425,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.30641025641025643,Same -- Positive,3,0.30641025641025643,Same -- Positive,0.306410256410256/0.306410256410256/0/0,0.306410256410256/0.306410256410256/0.306410256410256/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318656725,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.30641025641025643,Same -- Positive,4,0.30641025641025643,Same -- Positive,0.306410256410256/0.306410256410256/0.306410256410256/0.306410256410256,0.306410256410256/0.306410256410256/0.306410256410256/0.306410256410256,1000/1000/1000/1000/1000,8/7/6/5/8,0.3188859,0
1,1,1,1,1,1,1,NA,1,1,1,0.9995,0.9995,0.9105,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.3151282051282051,Same -- Positive,1,0.3151282051282051,Same -- Positive,0.315128205128205/0/0/0,0.315128205128205/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318218925,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.3151282051282051,Same -- Positive,3,0.3151282051282051,Same -- Positive,0.315128205128205/0.315128205128205/0/0,0.315128205128205/0.315128205128205/0.315128205128205/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318573825,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.3151282051282051,Same -- Positive,4,0.3151282051282051,Same -- Positive,0.315128205128205/0.315128205128205/0.315128205128205/0.315128205128205,0.315128205128205/0.315128205128205/0.315128205128205/0.315128205128205,1000/1000/1000/1000/1000,8/7/6/5/8,0.31874295,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,0.936,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.32384615384615384,Same -- Positive,1,0.32384615384615384,Same -- Positive,0.323846153846154/0/0/0,0.323846153846154/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3182265,0
0.151,0.1275,0.159,0.0975,0.093,0.101,0.096,NA,0.1185,0.246,0.1785,0.089,0.089,0.0845,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.03615384615384615,Same -- Positive,3,0.03615384615384615,Same -- Positive,0.0361538461538462/0.0361538461538462/0/0,0.0361538461538462/0.0361538461538462/0.0361538461538462/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3179368,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.32384615384615384,Same -- Positive,3,0.32384615384615384,Same -- Positive,0.323846153846154/0.323846153846154/0/0,0.323846153846154/0.323846153846154/0.323846153846154/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318687875,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.32384615384615384,Same -- Positive,4,0.32384615384615384,Same -- Positive,0.323846153846154/0.323846153846154/0.323846153846154/0.323846153846154,0.323846153846154/0.323846153846154/0.323846153846154/0.323846153846154,1000/1000/1000/1000/1000,8/7/6/5/8,0.31894605,0
1,1,1,1,0.9995,1,1,NA,1,1,1,0.9995,0.9995,0.94,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.33256410256410257,Same -- Positive,1,0.33256410256410257,Same -- Positive,0.332564102564103/0/0/0,0.332564102564103/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318210575,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.33256410256410257,Same -- Positive,3,0.33256410256410257,Same -- Positive,0.332564102564103/0.332564102564103/0/0,0.332564102564103/0.332564102564103/0.332564102564103/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3187914,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.33256410256410257,Same -- Positive,4,0.33256410256410257,Same -- Positive,0.332564102564103/0.332564102564103/0.332564102564103/0.332564102564103,0.332564102564103/0.332564102564103/0.332564102564103/0.332564102564103,1000/1000/1000/1000/1000,8/7/6/5/8,0.31907295,0
1,1,1,1,1,1,0.9995,NA,1,1,1,1,1,0.966,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.34128205128205125,Same -- Positive,1,0.34128205128205125,Same -- Positive,0.341282051282051/0/0/0,0.341282051282051/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31826245,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.34128205128205125,Same -- Positive,3,0.34128205128205125,Same -- Positive,0.341282051282051/0.341282051282051/0/0,0.341282051282051/0.341282051282051/0.341282051282051/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3187118,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.34128205128205125,Same -- Positive,4,0.34128205128205125,Same -- Positive,0.341282051282051/0.341282051282051/0.341282051282051/0.341282051282051,0.341282051282051/0.341282051282051/0.341282051282051/0.341282051282051,1000/1000/1000/1000/1000,8/7/6/5/8,0.3190912,0
1,1,1,1,1,1,1,NA,1,1,1,0.9995,0.9995,0.9765,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.35,Same -- Positive,1,0.35,Same -- Positive,0.35/0/0/0,0.35/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318390125,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.35,Same -- Positive,3,0.35,Same -- Positive,0.35/0.35/0/0,0.35/0.35/0.35/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31884,0
0.3775,0.2765,0.3615,0.143,0.136,0.143,0.137,NA,0.1575,0.3775,0.3775,0.1205,0.123,0.15,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.03615384615384615,Same -- Positive,4,0.03615384615384615,Same -- Positive,0.0361538461538462/0.0361538461538462/0.0361538461538462/0.0361538461538462,0.0361538461538462/0.0361538461538462/0.0361538461538462/0.0361538461538462,1000/1000/1000/1000/1000,8/7/6/5/8,0.31796115,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.35,Same -- Positive,4,0.35,Same -- Positive,0.35/0.35/0.35/0.35,0.35/0.35/0.35/0.35,1000/1000/1000/1000/1000,8/7/6/5/8,0.319045025,0
0.1045,0.097,0.1075,0.0925,0.0865,0.091,0.086,NA,0.102,0.211,0.157,0.08,0.0775,0.0775,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.04487179487179487,Same -- Positive,1,0.04487179487179487,Same -- Positive,0.0448717948717949/0/0/0,0.0448717948717949/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3179515,0
0.2335,0.1935,0.2385,0.1355,0.125,0.1375,0.128,NA,0.1485,0.3445,0.28,0.1165,0.117,0.097,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.04487179487179487,Same -- Positive,3,0.04487179487179487,Same -- Positive,0.0448717948717949/0.0448717948717949/0/0,0.0448717948717949/0.0448717948717949/0.0448717948717949/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318008275,0
0.57,0.422,0.5445,0.1915,0.1855,0.1905,0.189,NA,0.218,0.57,0.57,0.1705,0.172,0.2215,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.04487179487179487,Same -- Positive,4,0.04487179487179487,Same -- Positive,0.0448717948717949/0.0448717948717949/0.0448717948717949/0.0448717948717949,0.0448717948717949/0.0448717948717949/0.0448717948717949/0.0448717948717949,1000/1000/1000/1000/1000,8/7/6/5/8,0.318026775,0
0.105,0.096,0.102,0.085,0.078,0.0865,0.0795,NA,0.098,0.2555,0.1925,0.0695,0.074,0.074,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.05358974358974359,Same -- Positive,1,0.05358974358974359,Same -- Positive,0.0535897435897436/0/0/0,0.0535897435897436/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318032725,0
0.368,0.293,0.3605,0.2,0.1825,0.2005,0.187,NA,0.2205,0.456,0.404,0.162,0.1645,0.135,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.05358974358974359,Same -- Positive,3,0.05358974358974359,Same -- Positive,0.0535897435897436/0.0535897435897436/0/0,0.0535897435897436/0.0535897435897436/0.0535897435897436/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318027525,0
0.76,0.579,0.722,0.27,0.2445,0.277,0.249,NA,0.2835,0.76,0.76,0.2185,0.222,0.32,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.05358974358974359,Same -- Positive,4,0.05358974358974359,Same -- Positive,0.0535897435897436/0.0535897435897436/0.0535897435897436/0.0535897435897436,0.0535897435897436/0.0535897435897436/0.0535897435897436/0.0535897435897436,1000/1000/1000/1000/1000,8/7/6/5/8,0.31791205,0
0.144,0.134,0.15,0.12,0.121,0.1185,0.121,NA,0.143,0.3065,0.246,0.1145,0.115,0.0665,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.06230769230769231,Same -- Positive,1,0.06230769230769231,Same -- Positive,0.0623076923076923/0/0/0,0.0623076923076923/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318082975,0
