p_score,p_acat,p_snp,p_pheWAS_mega_acat,p_pheWAS_mega_acat_p,p_pheWAS_meta_acat,p_pheWAS_meta_acat_p,p_asset_meta,p_pheWAS_hmp,p_oracle,p_oracle_uncorrelated,p_pheWAS_mega,p_pheWAS_meta,p_multiphen,alpha,n_sims,num_sites,total_subjects,max_site,q,q_bin,q_con,intercept_only,flip_y,rm_gender,na_freq,maf,prevalence,num_pca,n_true_con,max_beta_con,direction_con,n_true_bin,max_beta_bin,direction_bin,beta_con,beta_bin,n_k,q_k,empirical_prev,no_case_rate
0.0495,0.0445,0.0505,0.0485,0.0465,0.05,0.048,NA,0.055,0.066,0.048,0.0425,0.0435,0.0605,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.01,Same -- Positive,1,0.01,Same -- Positive,0.01/0/0/0,0.01/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.317954225,0
0.072,0.067,0.0715,0.0685,0.066,0.068,0.0655,NA,0.078,0.1445,0.1105,0.061,0.0605,0.067,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.03615384615384615,Same -- Positive,1,0.03615384615384615,Same -- Positive,0.0361538461538462/0/0/0,0.0361538461538462/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318113225,0
1,1,1,0.9985,0.9985,0.9985,0.9985,NA,0.9985,1,1,0.9985,0.9985,0.666,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.2976923076923077,Same -- Positive,1,0.2976923076923077,Same -- Positive,0.297692307692308/0/0/0,0.297692307692308/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3180711,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,0.9505,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.2976923076923077,Same -- Positive,3,0.2976923076923077,Same -- Positive,0.297692307692308/0.297692307692308/0/0,0.297692307692308/0.297692307692308/0.297692307692308/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318432125,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,0.958,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.2976923076923077,Same -- Positive,4,0.2976923076923077,Same -- Positive,0.297692307692308/0.297692307692308/0.297692307692308/0.297692307692308,0.297692307692308/0.297692307692308/0.297692307692308/0.297692307692308,1000/1000/1000/1000/1000,8/7/6/5/8,0.318912275,0
1,1,1,0.999,0.999,0.999,0.999,NA,0.999,1,1,0.999,0.999,0.7185,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.30641025641025643,Same -- Positive,1,0.30641025641025643,Same -- Positive,0.306410256410256/0/0/0,0.306410256410256/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31834135,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,0.963,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.30641025641025643,Same -- Positive,3,0.30641025641025643,Same -- Positive,0.306410256410256/0.306410256410256/0/0,0.306410256410256/0.306410256410256/0.306410256410256/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3186183,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,0.9705,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.30641025641025643,Same -- Positive,4,0.30641025641025643,Same -- Positive,0.306410256410256/0.306410256410256/0.306410256410256/0.306410256410256,0.306410256410256/0.306410256410256/0.306410256410256/0.306410256410256,1000/1000/1000/1000/1000,8/7/6/5/8,0.318837275,0
1,1,1,1,0.9995,1,0.999,NA,1,1,1,0.999,0.999,0.727,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.3151282051282051,Same -- Positive,1,0.3151282051282051,Same -- Positive,0.315128205128205/0/0/0,0.315128205128205/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3182838,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,0.975,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.3151282051282051,Same -- Positive,3,0.3151282051282051,Same -- Positive,0.315128205128205/0.315128205128205/0/0,0.315128205128205/0.315128205128205/0.315128205128205/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318448275,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,0.9785,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.3151282051282051,Same -- Positive,4,0.3151282051282051,Same -- Positive,0.315128205128205/0.315128205128205/0.315128205128205/0.315128205128205,0.315128205128205/0.315128205128205/0.315128205128205/0.315128205128205,1000/1000/1000/1000/1000,8/7/6/5/8,0.318960175,0
