p_score,p_acat,p_snp,p_pheWAS_mega_acat,p_pheWAS_mega_acat_p,p_pheWAS_meta_acat,p_pheWAS_meta_acat_p,p_asset_meta,p_pheWAS_hmp,p_oracle,p_oracle_uncorrelated,p_pheWAS_mega,p_pheWAS_meta,p_multiphen,alpha,n_sims,num_sites,total_subjects,max_site,q,q_bin,q_con,intercept_only,flip_y,rm_gender,na_freq,maf,prevalence,num_pca,n_true_con,max_beta_con,direction_con,n_true_bin,max_beta_bin,direction_bin,beta_con,beta_bin,n_k,q_k,empirical_prev,no_case_rate
0.215,0.2,0.221,0.1425,0.1155,0.0675,0.0625,0.0095,0.0725,0.215,0.215,0.0955,0.049,0.0995,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.11172413793103449,Same -- Negative,0/0/0/0/0/0/0/0,-0.111724137931034/-0.111724137931034/-0.111724137931034/-0.111724137931034/-0.111724137931034/-0.111724137931034/-0.111724137931034/-0.111724137931034,1000/1000/1000/1000/1000,8/7/6/5/8,0.1183843,0
0.129,0.1165,0.133,0.0815,0.0625,0.062,0.055,0.017,0.0675,0.1975,0.181,0.058,0.0505,0.083,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.13206896551724137,Same -- Negative,0/0/0/0/0/0/0/0,-0.132068965517241/-0.132068965517241/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1182782125,0
0.0525,0.055,0.053,0.0865,0.082,0.12,0.116,0.0235,0.1335,0.067,0.0505,0.076,0.098,0.0855,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.07103448275862068,Same -- Positive,0/0/0/0/0/0/0/0,0.0710344827586207/0.0710344827586207/0.0710344827586207/0.0710344827586207/0.0710344827586207/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1181989875,0
0.213,0.192,0.2215,0.121,0.102,0.071,0.063,0.014,0.075,0.278,0.2565,0.092,0.0555,0.0965,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.13206896551724137,Same -- Negative,0/0/0/0/0/0/0/0,-0.132068965517241/-0.132068965517241/-0.132068965517241/-0.132068965517241/-0.132068965517241/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1182758375,0
0.2685,0.24,0.2715,0.1725,0.1455,0.089,0.0715,0.0115,0.0855,0.2685,0.2685,0.11,0.064,0.0995,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.13206896551724137,Same -- Negative,0/0/0/0/0/0/0/0,-0.132068965517241/-0.132068965517241/-0.132068965517241/-0.132068965517241/-0.132068965517241/-0.132068965517241/-0.132068965517241/-0.132068965517241,1000/1000/1000/1000/1000,8/7/6/5/8,0.1182135875,0
0.151,0.1485,0.164,0.096,0.089,0.075,0.072,0.0215,0.088,0.2415,0.2225,0.0855,0.065,0.091,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.15241379310344827,Same -- Negative,0/0/0/0/0/0/0/0,-0.152413793103448/-0.152413793103448/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.118138125,0
0.2705,0.2325,0.2735,0.1515,0.1265,0.0815,0.0665,0.0215,0.0815,0.332,0.3135,0.106,0.0625,0.1005,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.15241379310344827,Same -- Negative,0/0/0/0/0/0/0/0,-0.152413793103448/-0.152413793103448/-0.152413793103448/-0.152413793103448/-0.152413793103448/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1182691625,0
0.356,0.3105,0.3615,0.238,0.1915,0.1155,0.0935,0.017,0.1145,0.356,0.356,0.1475,0.0715,0.104,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.15241379310344827,Same -- Negative,0/0/0/0/0/0/0/0,-0.152413793103448/-0.152413793103448/-0.152413793103448/-0.152413793103448/-0.152413793103448/-0.152413793103448/-0.152413793103448/-0.152413793103448,1000/1000/1000/1000/1000,8/7/6/5/8,0.1181887625,0
0.168,0.1615,0.1765,0.1045,0.0985,0.0795,0.074,0.022,0.0905,0.273,0.256,0.0895,0.0705,0.1025,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.17275862068965517,Same -- Negative,0/0/0/0/0/0/0/0,-0.172758620689655/-0.172758620689655/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1182562375,0
0.335,0.298,0.335,0.202,0.182,0.109,0.095,0.024,0.1095,0.403,0.39,0.15,0.0785,0.118,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.17275862068965517,Same -- Negative,0/0/0/0/0/0/0/0,-0.172758620689655/-0.172758620689655/-0.172758620689655/-0.172758620689655/-0.172758620689655/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1182854875,0
0.4165,0.35,0.4125,0.302,0.24,0.1665,0.1265,0.03,0.149,0.4165,0.4165,0.182,0.1035,0.1185,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.17275862068965517,Same -- Negative,0/0/0/0/0/0/0/0,-0.172758620689655/-0.172758620689655/-0.172758620689655/-0.172758620689655/-0.172758620689655/-0.172758620689655/-0.172758620689655/-0.172758620689655,1000/1000/1000/1000/1000,8/7/6/5/8,0.1182645875,0
0.199,0.194,0.2135,0.127,0.1135,0.086,0.087,0.0245,0.104,0.325,0.307,0.1025,0.081,0.0805,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.19310344827586207,Same -- Negative,0/0/0/0/0/0/0/0,-0.193103448275862/-0.193103448275862/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.118205725,0
0.396,0.3505,0.3995,0.242,0.2125,0.1375,0.1225,0.034,0.144,0.4745,0.461,0.1745,0.1005,0.1235,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.19310344827586207,Same -- Negative,0/0/0/0/0/0/0/0,-0.193103448275862/-0.193103448275862/-0.193103448275862/-0.193103448275862/-0.193103448275862/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.11828765,0
0.0615,0.061,0.0625,0.136,0.132,0.1715,0.1635,0.0425,0.183,0.0615,0.0615,0.1225,0.1445,0.088,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.07103448275862068,Same -- Positive,0/0/0/0/0/0/0/0,0.0710344827586207/0.0710344827586207/0.0710344827586207/0.0710344827586207/0.0710344827586207/0.0710344827586207/0.0710344827586207/0.0710344827586207,1000/1000/1000/1000/1000,8/7/6/5/8,0.1182194875,0
0.477,0.394,0.4635,0.3605,0.2965,0.2005,0.163,0.0415,0.181,0.477,0.477,0.213,0.119,0.1255,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.19310344827586207,Same -- Negative,0/0/0/0/0/0/0/0,-0.193103448275862/-0.193103448275862/-0.193103448275862/-0.193103448275862/-0.193103448275862/-0.193103448275862/-0.193103448275862/-0.193103448275862,1000/1000/1000/1000/1000,8/7/6/5/8,0.1182383875,0
0.2265,0.22,0.2415,0.1465,0.1265,0.094,0.0875,0.026,0.1065,0.369,0.35,0.115,0.0745,0.093,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.21344827586206896,Same -- Negative,0/0/0/0/0/0/0/0,-0.213448275862069/-0.213448275862069/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.118379775,0
0.4725,0.4055,0.463,0.3005,0.2615,0.1935,0.164,0.0635,0.1925,0.567,0.553,0.2225,0.1325,0.1365,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.21344827586206896,Same -- Negative,0/0/0/0/0/0/0/0,-0.213448275862069/-0.213448275862069/-0.213448275862069/-0.213448275862069/-0.213448275862069/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1183510125,0
0.581,0.4745,0.565,0.4535,0.3715,0.2635,0.2105,0.0545,0.2355,0.581,0.581,0.2715,0.155,0.1445,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.21344827586206896,Same -- Negative,0/0/0/0/0/0/0/0,-0.213448275862069/-0.213448275862069/-0.213448275862069/-0.213448275862069/-0.213448275862069/-0.213448275862069/-0.213448275862069/-0.213448275862069,1000/1000/1000/1000/1000,8/7/6/5/8,0.1184272875,0
0.263,0.252,0.2745,0.16,0.154,0.1145,0.1045,0.0415,0.13,0.419,0.4155,0.1435,0.092,0.103,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.23379310344827584,Same -- Negative,0/0/0/0/0/0/0/0,-0.233793103448276/-0.233793103448276/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1183155875,0
0.539,0.452,0.527,0.3605,0.301,0.2185,0.183,0.063,0.214,0.633,0.6165,0.2415,0.143,0.134,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.23379310344827584,Same -- Negative,0/0/0/0/0/0/0/0,-0.233793103448276/-0.233793103448276/-0.233793103448276/-0.233793103448276/-0.233793103448276/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.118382,0
0.6625,0.537,0.6355,0.5355,0.4465,0.3385,0.275,0.0865,0.2995,0.6625,0.6625,0.3255,0.1975,0.158,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.23379310344827584,Same -- Negative,0/0/0/0/0/0/0/0,-0.233793103448276/-0.233793103448276/-0.233793103448276/-0.233793103448276/-0.233793103448276/-0.233793103448276/-0.233793103448276/-0.233793103448276,1000/1000/1000/1000/1000,8/7/6/5/8,0.118440775,0
0.3035,0.302,0.3255,0.195,0.1815,0.139,0.128,0.0435,0.1485,0.4705,0.461,0.1665,0.117,0.1125,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.25413793103448273,Same -- Negative,0/0/0/0/0/0/0/0,-0.254137931034483/-0.254137931034483/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1182522875,0
0.6195,0.5395,0.607,0.441,0.3805,0.275,0.231,0.0875,0.268,0.704,0.6905,0.2995,0.184,0.1475,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.25413793103448273,Same -- Negative,0/0/0/0/0/0/0/0,-0.254137931034483/-0.254137931034483/-0.254137931034483/-0.254137931034483/-0.254137931034483/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.11835835,0
0.724,0.593,0.6985,0.6255,0.5215,0.412,0.328,0.1195,0.3685,0.724,0.724,0.386,0.2295,0.167,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.25413793103448273,Same -- Negative,0/0/0/0/0/0/0/0,-0.254137931034483/-0.254137931034483/-0.254137931034483/-0.254137931034483/-0.254137931034483/-0.254137931034483/-0.254137931034483/-0.254137931034483,1000/1000/1000/1000/1000,8/7/6/5/8,0.1183909875,0
0.059,0.059,0.063,0.074,0.063,0.084,0.0805,0.02,0.094,0.075,0.0675,0.0585,0.072,0.083,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.09137931034482756,Same -- Positive,0/0/0/0/0/0/0/0,0.0913793103448276/0.0913793103448276/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1182164875,0
0.3485,0.347,0.3665,0.2155,0.2035,0.1445,0.133,0.0535,0.162,0.5455,0.532,0.184,0.1185,0.1145,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.27448275862068966,Same -- Negative,0/0/0/0/0/0/0/0,-0.27448275862069/-0.27448275862069/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1182567875,0
0.6845,0.592,0.6735,0.508,0.448,0.341,0.294,0.1365,0.328,0.762,0.751,0.362,0.2335,0.157,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.27448275862068966,Same -- Negative,0/0/0/0/0/0/0/0,-0.27448275862069/-0.27448275862069/-0.27448275862069/-0.27448275862069/-0.27448275862069/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.118364075,0
0.813,0.692,0.7945,0.7215,0.6235,0.51,0.423,0.19,0.4515,0.813,0.813,0.4785,0.303,0.1725,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.27448275862068966,Same -- Negative,0/0/0/0/0/0/0/0,-0.27448275862069/-0.27448275862069/-0.27448275862069/-0.27448275862069/-0.27448275862069/-0.27448275862069/-0.27448275862069/-0.27448275862069,1000/1000/1000/1000/1000,8/7/6/5/8,0.1184657375,0
0.3825,0.3725,0.3975,0.246,0.225,0.165,0.15,0.0645,0.1855,0.587,0.574,0.2055,0.136,0.1165,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.29482758620689653,Same -- Negative,0/0/0/0/0/0/0/0,-0.294827586206897/-0.294827586206897/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.11832065,0
0.7445,0.6465,0.7285,0.58,0.5035,0.394,0.3265,0.1775,0.363,0.8115,0.8075,0.4055,0.2585,0.1775,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.29482758620689653,Same -- Negative,0/0/0/0/0/0/0/0,-0.294827586206897/-0.294827586206897/-0.294827586206897/-0.294827586206897/-0.294827586206897/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1184992,0
0.8475,0.736,0.8335,0.7715,0.689,0.5825,0.488,0.2335,0.521,0.8475,0.8475,0.5295,0.34,0.192,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.29482758620689653,Same -- Negative,0/0/0/0/0/0/0/0,-0.294827586206897/-0.294827586206897/-0.294827586206897/-0.294827586206897/-0.294827586206897/-0.294827586206897/-0.294827586206897/-0.294827586206897,1000/1000/1000/1000/1000,8/7/6/5/8,0.1184675625,0
0.4335,0.4315,0.465,0.292,0.277,0.1955,0.1875,0.078,0.212,0.659,0.6515,0.2545,0.1665,0.1265,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.31517241379310346,Same -- Negative,0/0/0/0/0/0/0/0,-0.315172413793103/-0.315172413793103/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1183519625,0
0.8105,0.72,0.798,0.663,0.597,0.475,0.402,0.2185,0.452,0.865,0.861,0.4865,0.3255,0.2155,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.31517241379310346,Same -- Negative,0/0/0/0/0/0/0/0,-0.315172413793103/-0.315172413793103/-0.315172413793103/-0.315172413793103/-0.315172413793103/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1183940125,0
0.898,0.793,0.8805,0.8445,0.758,0.6615,0.57,0.322,0.598,0.898,0.898,0.61,0.4185,0.2265,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.31517241379310346,Same -- Negative,0/0/0/0/0/0/0/0,-0.315172413793103/-0.315172413793103/-0.315172413793103/-0.315172413793103/-0.315172413793103/-0.315172413793103/-0.315172413793103/-0.315172413793103,1000/1000/1000/1000/1000,8/7/6/5/8,0.1184426875,0
0.486,0.482,0.5075,0.333,0.3175,0.229,0.211,0.0955,0.2405,0.7075,0.6995,0.287,0.1855,0.1205,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.3355172413793103,Same -- Negative,0/0/0/0/0/0/0/0,-0.33551724137931/-0.33551724137931/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1182594875,0
0.0805,0.0645,0.074,0.1305,0.123,0.165,0.1515,0.046,0.176,0.096,0.0805,0.1065,0.1315,0.0925,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.09137931034482756,Same -- Positive,0/0/0/0/0/0/0/0,0.0913793103448276/0.0913793103448276/0.0913793103448276/0.0913793103448276/0.0913793103448276/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1183088875,0
0.854,0.768,0.847,0.7235,0.651,0.53,0.455,0.2805,0.495,0.903,0.9005,0.5445,0.371,0.211,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.3355172413793103,Same -- Negative,0/0/0/0/0/0/0/0,-0.33551724137931/-0.33551724137931/-0.33551724137931/-0.33551724137931/-0.33551724137931/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.118364275,0
0.9305,0.8365,0.9135,0.891,0.8215,0.7515,0.662,0.434,0.6885,0.9305,0.9305,0.6775,0.495,0.2485,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.3355172413793103,Same -- Negative,0/0/0/0/0/0/0/0,-0.33551724137931/-0.33551724137931/-0.33551724137931/-0.33551724137931/-0.33551724137931/-0.33551724137931/-0.33551724137931/-0.33551724137931,1000/1000/1000/1000/1000,8/7/6/5/8,0.1186263,0
0.531,0.5245,0.55,0.379,0.3595,0.279,0.255,0.128,0.299,0.7325,0.732,0.33,0.2275,0.122,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.3558620689655172,Same -- Negative,0/0/0/0/0/0/0/0,-0.355862068965517/-0.355862068965517/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1183302875,0
0.8805,0.802,0.8695,0.7625,0.688,0.593,0.515,0.33,0.5555,0.9225,0.924,0.573,0.412,0.217,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.3558620689655172,Same -- Negative,0/0/0/0/0/0/0/0,-0.355862068965517/-0.355862068965517/-0.355862068965517/-0.355862068965517/-0.355862068965517/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1184694375,0
0.944,0.862,0.9315,0.9065,0.8535,0.7905,0.7005,0.486,0.7205,0.944,0.944,0.711,0.534,0.264,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.3558620689655172,Same -- Negative,0/0/0/0/0/0/0/0,-0.355862068965517/-0.355862068965517/-0.355862068965517/-0.355862068965517/-0.355862068965517/-0.355862068965517/-0.355862068965517/-0.355862068965517,1000/1000/1000/1000/1000,8/7/6/5/8,0.1187002375,0
0.5825,0.562,0.6025,0.421,0.3955,0.2915,0.2735,0.128,0.312,0.775,0.7705,0.3635,0.2525,0.145,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.3762068965517241,Same -- Negative,0/0/0/0/0/0/0/0,-0.376206896551724/-0.376206896551724/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.1184351375,0
0.928,0.8605,0.9155,0.828,0.7725,0.6645,0.588,0.412,0.626,0.951,0.9465,0.653,0.475,0.232,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,5,0.3762068965517241,Same -- Negative,0/0/0/0/0/0/0/0,-0.376206896551724/-0.376206896551724/-0.376206896551724/-0.376206896551724/-0.376206896551724/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.118575275,0
0.9705,0.9125,0.9595,0.9525,0.9145,0.861,0.7835,0.5945,0.802,0.9705,0.9705,0.789,0.6145,0.275,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,8,0.3762068965517241,Same -- Negative,0/0/0/0/0/0/0/0,-0.376206896551724/-0.376206896551724/-0.376206896551724/-0.376206896551724/-0.376206896551724/-0.376206896551724/-0.376206896551724/-0.376206896551724,1000/1000/1000/1000/1000,8/7/6/5/8,0.1186188125,0
0.635,0.629,0.653,0.4805,0.466,0.351,0.343,0.158,0.3785,0.8195,0.8175,0.433,0.309,0.1455,0.05,2000,5,5000,1000,8,8,0,FALSE,FALSE,FALSE,0.1,0.05,0.1,4,0,0,Same -- Positive,2,0.396551724137931,Same -- Negative,0/0/0/0/0/0/0/0,-0.396551724137931/-0.396551724137931/0/0/0/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.11837305,0
