p_score,p_acat,p_snp,p_pheWAS_mega_acat,p_pheWAS_mega_acat_p,p_pheWAS_meta_acat,p_pheWAS_meta_acat_p,p_asset_meta,p_pheWAS_hmp,p_oracle,p_oracle_uncorrelated,p_pheWAS_mega,p_pheWAS_meta,p_multiphen,alpha,n_sims,num_sites,total_subjects,max_site,q,q_bin,q_con,intercept_only,flip_y,rm_gender,na_freq,maf,prevalence,num_pca,n_true_con,max_beta_con,direction_con,n_true_bin,max_beta_bin,direction_bin,beta_con,beta_bin,n_k,q_k,empirical_prev,no_case_rate
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.3151282051282051,Opposite,4,0.3151282051282051,Same -- Positive,0.315128205128205/-0.315128205128205/0.315128205128205/-0.315128205128205,0.315128205128205/0.315128205128205/0.315128205128205/0.315128205128205,1000/1000/1000/1000/1000,8/7/6/5/8,0.3189945,0
1,1,1,1,0.9995,1,0.9995,NA,0.9995,1,1,0.9995,0.9995,0.6595,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.32384615384615384,Same -- Negative,1,0.32384615384615384,Same -- Positive,-0.323846153846154/0/0/0,0.323846153846154/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318325025,0
0.1255,0.1025,0.121,0.106,0.094,0.1045,0.095,NA,0.1165,0.164,0.1445,0.0875,0.0885,0.0725,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.03615384615384615,Opposite,3,0.03615384615384615,Same -- Positive,0.0361538461538462/-0.0361538461538462/0/0,0.0361538461538462/0.0361538461538462/0.0361538461538462/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318067125,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,0.995,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.32384615384615384,Opposite,3,0.32384615384615384,Same -- Positive,0.323846153846154/-0.323846153846154/0/0,0.323846153846154/0.323846153846154/0.323846153846154/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318875425,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.32384615384615384,Opposite,4,0.32384615384615384,Same -- Positive,0.323846153846154/-0.323846153846154/0.323846153846154/-0.323846153846154,0.323846153846154/0.323846153846154/0.323846153846154/0.323846153846154,1000/1000/1000/1000/1000,8/7/6/5/8,0.3187774,0
1,0.9995,0.9995,1,0.999,0.9995,0.999,NA,1,1,1,0.999,0.999,0.698,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.33256410256410257,Same -- Negative,1,0.33256410256410257,Same -- Positive,-0.332564102564103/0/0/0,0.332564102564103/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31809265,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,0.9985,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.33256410256410257,Opposite,3,0.33256410256410257,Same -- Positive,0.332564102564103/-0.332564102564103/0/0,0.332564102564103/0.332564102564103/0.332564102564103/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31874815,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.33256410256410257,Opposite,4,0.33256410256410257,Same -- Positive,0.332564102564103/-0.332564102564103/0.332564102564103/-0.332564102564103,0.332564102564103/0.332564102564103/0.332564102564103/0.332564102564103,1000/1000/1000/1000/1000,8/7/6/5/8,0.3190451,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,0.72,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.34128205128205125,Same -- Negative,1,0.34128205128205125,Same -- Positive,-0.341282051282051/0/0/0,0.341282051282051/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318340975,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,0.998,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.34128205128205125,Opposite,3,0.34128205128205125,Same -- Positive,0.341282051282051/-0.341282051282051/0/0,0.341282051282051/0.341282051282051/0.341282051282051/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31888005,0
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.34128205128205125,Opposite,4,0.34128205128205125,Same -- Positive,0.341282051282051/-0.341282051282051/0.341282051282051/-0.341282051282051,0.341282051282051/0.341282051282051/0.341282051282051/0.341282051282051,1000/1000/1000/1000/1000,8/7/6/5/8,0.31896785,0
