p_score,p_acat,p_snp,p_pheWAS_mega_acat,p_pheWAS_mega_acat_p,p_pheWAS_meta_acat,p_pheWAS_meta_acat_p,p_asset_meta,p_oracle,p_oracle_uncorrelated,p_pheWAS_mega,p_pheWAS_meta,alpha,n_sims,num_sites,total_subjects,max_site,q,q_bin,q_con,intercept_only,flip_y,rm_gender,na_freq,maf,prevalence,num_pca,n_true_con,max_beta_con,direction_con,n_true_bin,max_beta_bin,direction_bin,beta_con,beta_bin,n_k,q_k,empirical_prev,no_case_rate
0.052,0.0585,0.059,0.06,0.059,0.058,0.0585,NA,0.0935,0.048,0.051,0.052,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.01,Same -- Negative,1,0.01,Same -- Positive,-0.01/0/0/0,0.01/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31798385,0
0.08,0.0715,0.081,0.0785,0.0665,0.077,0.068,NA,0.1655,0.111,0.0615,0.0605,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.03615384615384615,Same -- Negative,1,0.03615384615384615,Same -- Positive,-0.0361538461538462/0/0/0,0.0361538461538462/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318056775,0
1,0.9995,1,0.999,0.999,0.999,0.998,NA,1,1,0.9975,0.997,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.2976923076923077,Same -- Negative,1,0.2976923076923077,Same -- Positive,-0.297692307692308/0/0/0,0.297692307692308/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31818185,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.2976923076923077,Opposite,3,0.2976923076923077,Same -- Positive,0.297692307692308/-0.297692307692308/0/0,0.297692307692308/0.297692307692308/0.297692307692308/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3184857,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.2976923076923077,Opposite,4,0.2976923076923077,Same -- Positive,0.297692307692308/-0.297692307692308/0.297692307692308/-0.297692307692308,0.297692307692308/0.297692307692308/0.297692307692308/0.297692307692308,1000/1000/1000/1000/1000,8/7/6/5/8,0.318945225,0
1,1,1,0.999,0.998,0.999,0.999,NA,1,1,0.9985,0.9985,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.30641025641025643,Same -- Negative,1,0.30641025641025643,Same -- Positive,-0.306410256410256/0/0/0,0.306410256410256/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318303,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.30641025641025643,Opposite,3,0.30641025641025643,Same -- Positive,0.306410256410256/-0.306410256410256/0/0,0.306410256410256/0.306410256410256/0.306410256410256/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318696575,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.30641025641025643,Opposite,4,0.30641025641025643,Same -- Positive,0.306410256410256/-0.306410256410256/0.306410256410256/-0.306410256410256,0.306410256410256/0.306410256410256/0.306410256410256/0.306410256410256,1000/1000/1000/1000/1000,8/7/6/5/8,0.318850725,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.3151282051282051,Same -- Negative,1,0.3151282051282051,Same -- Positive,-0.315128205128205/0/0/0,0.315128205128205/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31825585,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.3151282051282051,Opposite,3,0.3151282051282051,Same -- Positive,0.315128205128205/-0.315128205128205/0/0,0.315128205128205/0.315128205128205/0.315128205128205/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318522775,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.3151282051282051,Opposite,4,0.3151282051282051,Same -- Positive,0.315128205128205/-0.315128205128205/0.315128205128205/-0.315128205128205,0.315128205128205/0.315128205128205/0.315128205128205/0.315128205128205,1000/1000/1000/1000/1000,8/7/6/5/8,0.3189945,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.32384615384615384,Same -- Negative,1,0.32384615384615384,Same -- Positive,-0.323846153846154/0/0/0,0.323846153846154/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318325025,0
0.1095,0.0905,0.1085,0.1115,0.0965,0.112,0.098,NA,0.167,0.1275,0.088,0.0905,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.03615384615384615,Opposite,3,0.03615384615384615,Same -- Positive,0.0361538461538462/-0.0361538461538462/0/0,0.0361538461538462/0.0361538461538462/0.0361538461538462/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318067125,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.32384615384615384,Opposite,3,0.32384615384615384,Same -- Positive,0.323846153846154/-0.323846153846154/0/0,0.323846153846154/0.323846153846154/0.323846153846154/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318875425,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.32384615384615384,Opposite,4,0.32384615384615384,Same -- Positive,0.323846153846154/-0.323846153846154/0.323846153846154/-0.323846153846154,0.323846153846154/0.323846153846154/0.323846153846154/0.323846153846154,1000/1000/1000/1000/1000,8/7/6/5/8,0.3187774,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.33256410256410257,Same -- Negative,1,0.33256410256410257,Same -- Positive,-0.332564102564103/0/0/0,0.332564102564103/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31809265,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.33256410256410257,Opposite,3,0.33256410256410257,Same -- Positive,0.332564102564103/-0.332564102564103/0/0,0.332564102564103/0.332564102564103/0.332564102564103/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31874815,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.33256410256410257,Opposite,4,0.33256410256410257,Same -- Positive,0.332564102564103/-0.332564102564103/0.332564102564103/-0.332564102564103,0.332564102564103/0.332564102564103/0.332564102564103/0.332564102564103,1000/1000/1000/1000/1000,8/7/6/5/8,0.3190451,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.34128205128205125,Same -- Negative,1,0.34128205128205125,Same -- Positive,-0.341282051282051/0/0/0,0.341282051282051/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318340975,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.34128205128205125,Opposite,3,0.34128205128205125,Same -- Positive,0.341282051282051/-0.341282051282051/0/0,0.341282051282051/0.341282051282051/0.341282051282051/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31888005,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.34128205128205125,Opposite,4,0.34128205128205125,Same -- Positive,0.341282051282051/-0.341282051282051/0.341282051282051/-0.341282051282051,0.341282051282051/0.341282051282051/0.341282051282051/0.341282051282051,1000/1000/1000/1000/1000,8/7/6/5/8,0.31896785,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.35,Same -- Negative,1,0.35,Same -- Positive,-0.35/0/0/0,0.35/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3182369,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.35,Opposite,3,0.35,Same -- Positive,0.35/-0.35/0/0,0.35/0.35/0.35/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31871165,0
0.154,0.1285,0.1535,0.154,0.1395,0.153,0.1415,NA,0.154,0.154,0.131,0.131,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.03615384615384615,Opposite,4,0.03615384615384615,Same -- Positive,0.0361538461538462/-0.0361538461538462/0.0361538461538462/-0.0361538461538462,0.0361538461538462/0.0361538461538462/0.0361538461538462/0.0361538461538462,1000/1000/1000/1000/1000,8/7/6/5/8,0.31818045,0
1,1,1,1,1,1,1,NA,1,1,1,1,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.35,Opposite,4,0.35,Same -- Positive,0.35/-0.35/0.35/-0.35,0.35/0.35/0.35/0.35,1000/1000/1000/1000/1000,8/7/6/5/8,0.3189359,0
0.0805,0.079,0.09,0.078,0.07,0.079,0.0695,NA,0.1855,0.1425,0.066,0.065,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.04487179487179487,Same -- Negative,1,0.04487179487179487,Same -- Positive,-0.0448717948717949/0/0/0,0.0448717948717949/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31798795,0
0.1415,0.1175,0.1415,0.1375,0.1335,0.136,0.133,NA,0.2085,0.167,0.1215,0.1225,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.04487179487179487,Opposite,3,0.04487179487179487,Same -- Positive,0.0448717948717949/-0.0448717948717949/0/0,0.0448717948717949/0.0448717948717949/0.0448717948717949/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31804905,0
0.195,0.153,0.194,0.1905,0.174,0.1915,0.1765,NA,0.195,0.195,0.1545,0.155,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.04487179487179487,Opposite,4,0.04487179487179487,Same -- Positive,0.0448717948717949/-0.0448717948717949/0.0448717948717949/-0.0448717948717949,0.0448717948717949/0.0448717948717949/0.0448717948717949/0.0448717948717949,1000/1000/1000/1000/1000,8/7/6/5/8,0.318036675,0
0.1215,0.1035,0.126,0.1115,0.103,0.11,0.1015,NA,0.241,0.19,0.0965,0.0965,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.05358974358974359,Same -- Negative,1,0.05358974358974359,Same -- Positive,-0.0535897435897436/0/0/0,0.0535897435897436/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318133775,0
0.177,0.144,0.1745,0.1785,0.169,0.182,0.1685,NA,0.26,0.226,0.1475,0.1485,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.05358974358974359,Opposite,3,0.05358974358974359,Same -- Positive,0.0535897435897436/-0.0535897435897436/0/0,0.0535897435897436/0.0535897435897436/0.0535897435897436/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318060475,0
0.2975,0.2265,0.2895,0.282,0.251,0.29,0.2565,NA,0.2975,0.2975,0.215,0.2175,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.05358974358974359,Opposite,4,0.05358974358974359,Same -- Positive,0.0535897435897436/-0.0535897435897436/0.0535897435897436/-0.0535897435897436,0.0535897435897436/0.0535897435897436/0.0535897435897436/0.0535897435897436,1000/1000/1000/1000/1000,8/7/6/5/8,0.318266975,0
0.146,0.1355,0.1545,0.127,0.1235,0.1275,0.124,NA,0.2865,0.235,0.1125,0.1165,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.06230769230769231,Same -- Negative,1,0.06230769230769231,Same -- Positive,-0.0623076923076923/0/0/0,0.0623076923076923/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3181238,0
0.0605,0.048,0.0565,0.051,0.046,0.05,0.046,NA,0.0875,0.055,0.045,0.0465,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.01,Opposite,3,0.01,Same -- Positive,0.01/-0.01/0/0,0.01/0.01/0.01/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31795135,0
0.238,0.1955,0.2325,0.24,0.216,0.24,0.2205,NA,0.3395,0.2965,0.191,0.1945,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.06230769230769231,Opposite,3,0.06230769230769231,Same -- Positive,0.0623076923076923/-0.0623076923076923/0/0,0.0623076923076923/0.0623076923076923/0.0623076923076923/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318032625,0
0.3825,0.2795,0.3605,0.352,0.318,0.3565,0.3175,NA,0.3825,0.3825,0.26,0.264,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.06230769230769231,Opposite,4,0.06230769230769231,Same -- Positive,0.0623076923076923/-0.0623076923076923/0.0623076923076923/-0.0623076923076923,0.0623076923076923/0.0623076923076923/0.0623076923076923/0.0623076923076923,1000/1000/1000/1000/1000,8/7/6/5/8,0.318071925,0
0.168,0.151,0.174,0.1365,0.131,0.1375,0.129,NA,0.334,0.2755,0.1215,0.121,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.07102564102564102,Same -- Negative,1,0.07102564102564102,Same -- Positive,-0.071025641025641/0/0/0,0.071025641025641/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31807035,0
0.3415,0.255,0.325,0.327,0.2885,0.3285,0.291,NA,0.442,0.4,0.2475,0.249,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.07102564102564102,Opposite,3,0.07102564102564102,Same -- Positive,0.071025641025641/-0.071025641025641/0/0,0.071025641025641/0.071025641025641/0.071025641025641/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31813665,0
0.4975,0.3705,0.4765,0.4545,0.402,0.4565,0.4095,NA,0.4975,0.4975,0.3355,0.336,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.07102564102564102,Opposite,4,0.07102564102564102,Same -- Positive,0.071025641025641/-0.071025641025641/0.071025641025641/-0.071025641025641,0.071025641025641/0.071025641025641/0.071025641025641/0.071025641025641,1000/1000/1000/1000/1000,8/7/6/5/8,0.318063625,0
0.2015,0.1805,0.2085,0.1695,0.1605,0.171,0.1595,NA,0.3935,0.356,0.1535,0.1515,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.07974358974358974,Same -- Negative,1,0.07974358974358974,Same -- Positive,-0.0797435897435897/0/0/0,0.0797435897435897/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318051875,0
0.416,0.3145,0.402,0.388,0.3525,0.3935,0.354,NA,0.534,0.486,0.302,0.3035,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.07974358974358974,Opposite,3,0.07974358974358974,Same -- Positive,0.0797435897435897/-0.0797435897435897/0/0,0.0797435897435897/0.0797435897435897/0.0797435897435897/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318198125,0
0.6395,0.4735,0.6045,0.584,0.5255,0.584,0.5295,NA,0.6395,0.6395,0.4335,0.44,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.07974358974358974,Opposite,4,0.07974358974358974,Same -- Positive,0.0797435897435897/-0.0797435897435897/0.0797435897435897/-0.0797435897435897,0.0797435897435897/0.0797435897435897/0.0797435897435897/0.0797435897435897,1000/1000/1000/1000/1000,8/7/6/5/8,0.3181583,0
0.261,0.2365,0.2635,0.2135,0.2045,0.2145,0.2035,NA,0.477,0.432,0.1975,0.197,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.08846153846153845,Same -- Negative,1,0.08846153846153845,Same -- Positive,-0.0884615384615385/0/0/0,0.0884615384615385/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.317863975,0
0.494,0.3865,0.4795,0.472,0.422,0.4775,0.425,NA,0.616,0.5845,0.37,0.371,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.08846153846153845,Opposite,3,0.08846153846153845,Same -- Positive,0.0884615384615385/-0.0884615384615385/0/0,0.0884615384615385/0.0884615384615385/0.0884615384615385/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3180296,0
0.047,0.046,0.047,0.051,0.0535,0.0525,0.0535,NA,0.047,0.047,0.052,0.051,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.01,Opposite,4,0.01,Same -- Positive,0.01/-0.01/0.01/-0.01,0.01/0.01/0.01/0.01,1000/1000/1000/1000/1000,8/7/6/5/8,0.317794625,0
0.7225,0.5505,0.6935,0.6695,0.601,0.67,0.6015,NA,0.7225,0.7225,0.495,0.4985,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.08846153846153845,Opposite,4,0.08846153846153845,Same -- Positive,0.0884615384615385/-0.0884615384615385/0.0884615384615385/-0.0884615384615385,0.0884615384615385/0.0884615384615385/0.0884615384615385/0.0884615384615385,1000/1000/1000/1000/1000,8/7/6/5/8,0.31813225,0
0.3275,0.2915,0.332,0.265,0.256,0.267,0.253,NA,0.5445,0.498,0.2435,0.2465,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.09717948717948716,Same -- Negative,1,0.09717948717948716,Same -- Positive,-0.0971794871794872/0/0/0,0.0971794871794872/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31807845,0
0.608,0.494,0.594,0.57,0.5265,0.573,0.5285,NA,0.7225,0.6885,0.463,0.4665,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.09717948717948716,Opposite,3,0.09717948717948716,Same -- Positive,0.0971794871794872/-0.0971794871794872/0/0,0.0971794871794872/0.0971794871794872/0.0971794871794872/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318137325,0
0.8215,0.651,0.7825,0.7615,0.6955,0.766,0.7,NA,0.8215,0.8215,0.5715,0.5795,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.09717948717948716,Opposite,4,0.09717948717948716,Same -- Positive,0.0971794871794872/-0.0971794871794872/0.0971794871794872/-0.0971794871794872,0.0971794871794872/0.0971794871794872/0.0971794871794872/0.0971794871794872,1000/1000/1000/1000/1000,8/7/6/5/8,0.31809075,0
0.3795,0.361,0.395,0.305,0.3015,0.3045,0.304,NA,0.617,0.5805,0.279,0.2825,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.10589743589743587,Same -- Negative,1,0.10589743589743587,Same -- Positive,-0.105897435897436/0/0/0,0.105897435897436/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.317961325,0
0.697,0.5745,0.673,0.657,0.6065,0.658,0.605,NA,0.7995,0.778,0.5295,0.531,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.10589743589743587,Opposite,3,0.10589743589743587,Same -- Positive,0.105897435897436/-0.105897435897436/0/0,0.105897435897436/0.105897435897436/0.105897435897436/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31806145,0
0.902,0.7665,0.8825,0.87,0.8135,0.8715,0.8145,NA,0.902,0.902,0.6945,0.6945,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.10589743589743587,Opposite,4,0.10589743589743587,Same -- Positive,0.105897435897436/-0.105897435897436/0.105897435897436/-0.105897435897436,0.105897435897436/0.105897435897436/0.105897435897436/0.105897435897436,1000/1000/1000/1000/1000,8/7/6/5/8,0.3181313,0
0.4415,0.4045,0.443,0.3665,0.3565,0.368,0.3615,NA,0.6735,0.6455,0.335,0.3375,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.1146153846153846,Same -- Negative,1,0.1146153846153846,Same -- Positive,-0.114615384615385/0/0/0,0.114615384615385/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3179034,0
0.775,0.645,0.751,0.7385,0.6865,0.7355,0.6885,NA,0.858,0.841,0.6175,0.6175,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.1146153846153846,Opposite,3,0.1146153846153846,Same -- Positive,0.114615384615385/-0.114615384615385/0/0,0.114615384615385/0.114615384615385/0.114615384615385/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31816725,0
0.954,0.8445,0.941,0.919,0.873,0.921,0.8795,NA,0.954,0.954,0.77,0.7725,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.1146153846153846,Opposite,4,0.1146153846153846,Same -- Positive,0.114615384615385/-0.114615384615385/0.114615384615385/-0.114615384615385,0.114615384615385/0.114615384615385/0.114615384615385/0.114615384615385,1000/1000/1000/1000/1000,8/7/6/5/8,0.3180499,0
0.065,0.057,0.066,0.059,0.056,0.059,0.054,NA,0.0965,0.059,0.0495,0.05,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.01871794871794872,Same -- Negative,1,0.01871794871794872,Same -- Positive,-0.0187179487179487/0/0/0,0.0187179487179487/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3179588,0
0.501,0.4745,0.5155,0.433,0.4085,0.4345,0.4125,NA,0.7405,0.71,0.3845,0.3865,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.12333333333333332,Same -- Negative,1,0.12333333333333332,Same -- Positive,-0.123333333333333/0/0/0,0.123333333333333/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.317942575,0
0.844,0.721,0.8175,0.8125,0.7495,0.8145,0.758,NA,0.908,0.8945,0.675,0.6785,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.12333333333333332,Opposite,3,0.12333333333333332,Same -- Positive,0.123333333333333/-0.123333333333333/0/0,0.123333333333333/0.123333333333333/0.123333333333333/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3180452,0
0.97,0.8925,0.964,0.954,0.918,0.9545,0.9185,NA,0.97,0.97,0.8215,0.8275,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.12333333333333332,Opposite,4,0.12333333333333332,Same -- Positive,0.123333333333333/-0.123333333333333/0.123333333333333/-0.123333333333333,0.123333333333333/0.123333333333333/0.123333333333333/0.123333333333333,1000/1000/1000/1000/1000,8/7/6/5/8,0.318111775,0
0.575,0.5495,0.5975,0.501,0.489,0.5005,0.4885,NA,0.7945,0.779,0.446,0.452,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.13205128205128203,Same -- Negative,1,0.13205128205128203,Same -- Positive,-0.132051282051282/0/0/0,0.132051282051282/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318091125,0
0.896,0.7955,0.8775,0.874,0.8265,0.874,0.8305,NA,0.942,0.9355,0.751,0.754,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.13205128205128203,Opposite,3,0.13205128205128203,Same -- Positive,0.132051282051282/-0.132051282051282/0/0,0.132051282051282/0.132051282051282/0.132051282051282/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3180396,0
